Time resolution is 1 ps
Time =               161000, clk = 1, sw = 1, data = 0100
Time =               162000, clk = 0, sw = 1, data = 0100
Time =               163000, clk = 1, sw = 1, data = 0100
Time =               163000, clk = 0, sw = 1, data = 0100
Time =               164000, clk = 1, sw = 1, data = 0100
Time =               164000, clk = 0, sw = 1, data = 0100
Time =               165000, clk = 1, sw = 1, data = 0100
Time =               166000, clk = 0, sw = 1, data = 0100
Time =               166000, clk = 1, sw = 1, data = 0100
Time =               167000, clk = 0, sw = 1, data = 0100
Time =               167000, clk = 1, sw = 1, data = 0010
Time =               168000, clk = 0, sw = 1, data = 0010
Time =               168000, clk = 1, sw = 1, data = 0010
Time =               169000, clk = 0, sw = 1, data = 0010
Time =               170000, clk = 1, sw = 1, data = 0010
Time =               170000, clk = 0, sw = 1, data = 0010
Time =               171000, clk = 1, sw = 1, data = 0010
Time =               171000, clk = 0, sw = 1, data = 0010
Time =               172000, clk = 1, sw = 1, data = 0010
Time =               173000, clk = 0, sw = 1, data = 0010
Time =               173000, clk = 1, sw = 1, data = 0010
Time =               174000, clk = 0, sw = 1, data = 0010
Time =               174000, clk = 1, sw = 1, data = 0010
Time =               175000, clk = 0, sw = 1, data = 0010
Time =               176000, clk = 1, sw = 1, data = 0010
Time =               176000, clk = 0, sw = 1, data = 0010
Time =               177000, clk = 1, sw = 1, data = 0010
Time =               177000, clk = 0, sw = 1, data = 0010
Time =               178000, clk = 1, sw = 1, data = 0010
Time =               178000, clk = 0, sw = 1, data = 0010
Time =               179000, clk = 1, sw = 1, data = 0010
Time =               180000, clk = 0, sw = 1, data = 0010
Time =               180000, clk = 1, sw = 1, data = 0010
Time =               181000, clk = 0, sw = 1, data = 0010
Time =               181000, clk = 1, sw = 1, data = 0010
Time =               182000, clk = 0, sw = 1, data = 0010
Time =               183000, clk = 1, sw = 1, data = 0010
Time =               183000, clk = 0, sw = 1, data = 0010
Time =               184000, clk = 1, sw = 1, data = 0010
Time =               184000, clk = 0, sw = 1, data = 0010
Time =               185000, clk = 1, sw = 1, data = 0010
Time =               185000, clk = 0, sw = 1, data = 0010
Time =               186000, clk = 1, sw = 1, data = 0010
Time =               187000, clk = 0, sw = 1, data = 0010
Time =               187000, clk = 1, sw = 1, data = 0010
Time =               188000, clk = 0, sw = 1, data = 0010
Time =               188000, clk = 1, sw = 1, data = 0010
Time =               189000, clk = 0, sw = 1, data = 0010
Time =               190000, clk = 1, sw = 1, data = 0010
Time =               190000, clk = 0, sw = 1, data = 0010
Time =               191000, clk = 1, sw = 1, data = 0010
Time =               191000, clk = 0, sw = 1, data = 0010
Time =               192000, clk = 1, sw = 1, data = 0010
Time =               193000, clk = 0, sw = 1, data = 0010
Time =               193000, clk = 1, sw = 1, data = 0001
Time =               194000, clk = 0, sw = 1, data = 0001
Time =               194000, clk = 1, sw = 1, data = 0001
Time =               195000, clk = 0, sw = 1, data = 0001
Time =               195000, clk = 1, sw = 1, data = 0001
Time =               196000, clk = 0, sw = 1, data = 0001
Time =               197000, clk = 1, sw = 1, data = 0001
Time =               197000, clk = 0, sw = 1, data = 0001
Time =               198000, clk = 1, sw = 1, data = 0001
Time =               198000, clk = 0, sw = 1, data = 0001
Time =               199000, clk = 1, sw = 1, data = 0001
Time =               200000, clk = 0, sw = 1, data = 0001
Time =               200000, clk = 1, sw = 1, data = 0001
Time =               201000, clk = 0, sw = 1, data = 0001
Time =               201000, clk = 1, sw = 1, data = 0001
Time =               202000, clk = 0, sw = 1, data = 0001
Time =               203000, clk = 1, sw = 1, data = 0001
Time =               203000, clk = 0, sw = 1, data = 0001
Time =               204000, clk = 1, sw = 1, data = 0001
Time =               204000, clk = 0, sw = 1, data = 0001
Time =               205000, clk = 1, sw = 1, data = 0001
Time =               205000, clk = 0, sw = 1, data = 0001
Time =               206000, clk = 1, sw = 1, data = 0001
Time =               207000, clk = 0, sw = 1, data = 0001
Time =               207000, clk = 1, sw = 1, data = 0001
Time =               208000, clk = 0, sw = 1, data = 0001
Time =               208000, clk = 1, sw = 1, data = 0001
Time =               209000, clk = 0, sw = 1, data = 0001
Time =               210000, clk = 1, sw = 1, data = 0001
Time =               210000, clk = 0, sw = 1, data = 0001
Time =               211000, clk = 1, sw = 1, data = 0001
Time =               211000, clk = 0, sw = 1, data = 0001
Time =               212000, clk = 1, sw = 1, data = 0001
Time =               212000, clk = 0, sw = 1, data = 0001
Time =               213000, clk = 1, sw = 1, data = 0001
Time =               214000, clk = 0, sw = 1, data = 0001
Time =               214000, clk = 1, sw = 1, data = 0001
Time =               215000, clk = 0, sw = 1, data = 0001
Time =               215000, clk = 1, sw = 1, data = 0001
Time =               216000, clk = 0, sw = 1, data = 0001
Time =               217000, clk = 1, sw = 1, data = 0001
Time =               217000, clk = 0, sw = 1, data = 0001
Time =               218000, clk = 1, sw = 1, data = 0001
Time =               218000, clk = 0, sw = 1, data = 0001
Time =               219000, clk = 1, sw = 1, data = 1000
Time =               220000, clk = 0, sw = 1, data = 1000
Time =               220000, clk = 1, sw = 1, data = 1000
Time =               221000, clk = 0, sw = 1, data = 1000
Time =               221000, clk = 1, sw = 1, data = 1000
Time =               222000, clk = 0, sw = 1, data = 1000
Time =               222000, clk = 1, sw = 1, data = 1000
Time =               223000, clk = 0, sw = 1, data = 1000
Time =               224000, clk = 1, sw = 1, data = 1000
Time =               224000, clk = 0, sw = 1, data = 1000
Time =               225000, clk = 1, sw = 1, data = 1000
Time =               225000, clk = 0, sw = 1, data = 1000
Time =               226000, clk = 1, sw = 1, data = 1000
Time =               227000, clk = 0, sw = 1, data = 1000
Time =               227000, clk = 1, sw = 1, data = 1000
Time =               228000, clk = 0, sw = 1, data = 1000
Time =               228000, clk = 1, sw = 1, data = 1000
Time =               229000, clk = 0, sw = 1, data = 1000
Time =               230000, clk = 1, sw = 1, data = 1000
Time =               230000, clk = 0, sw = 1, data = 1000
Time =               231000, clk = 1, sw = 1, data = 1000
Time =               231000, clk = 0, sw = 1, data = 1000
Time =               232000, clk = 1, sw = 1, data = 1000
Time =               232000, clk = 0, sw = 1, data = 1000
Time =               233000, clk = 1, sw = 1, data = 1000
Time =               234000, clk = 0, sw = 1, data = 1000
Time =               234000, clk = 1, sw = 1, data = 1000
Time =               235000, clk = 0, sw = 1, data = 1000
Time =               235000, clk = 1, sw = 1, data = 1000
Time =               236000, clk = 0, sw = 1, data = 1000
Time =               237000, clk = 1, sw = 1, data = 1000
Time =               237000, clk = 0, sw = 1, data = 1000
Time =               238000, clk = 1, sw = 1, data = 1000
Time =               238000, clk = 0, sw = 1, data = 1000
Time =               239000, clk = 1, sw = 1, data = 1000
Time =               239000, clk = 0, sw = 1, data = 1000
Time =               240000, clk = 1, sw = 1, data = 1000
Time =               241000, clk = 0, sw = 1, data = 1000
Time =               241000, clk = 1, sw = 1, data = 1000
Time =               242000, clk = 0, sw = 1, data = 1000
Time =               242000, clk = 1, sw = 1, data = 1000
Time =               243000, clk = 0, sw = 1, data = 1000
Time =               244000, clk = 1, sw = 1, data = 1000
Time =               244000, clk = 0, sw = 1, data = 1000
Time =               245000, clk = 1, sw = 1, data = 0100
Time =               245000, clk = 0, sw = 1, data = 0100
Time =               246000, clk = 1, sw = 1, data = 0100
Time =               247000, clk = 0, sw = 1, data = 0100
Time =               247000, clk = 1, sw = 1, data = 0100
Time =               248000, clk = 0, sw = 1, data = 0100
Time =               248000, clk = 1, sw = 1, data = 0100
Time =               249000, clk = 0, sw = 1, data = 0100
Time =               249000, clk = 1, sw = 1, data = 0100
Time =               250000, clk = 0, sw = 1, data = 0100
Time =               251000, clk = 1, sw = 1, data = 0100
Time =               251000, clk = 0, sw = 1, data = 0100
Time =               252000, clk = 1, sw = 1, data = 0100
Time =               252000, clk = 0, sw = 1, data = 0100
Time =               253000, clk = 1, sw = 1, data = 0100
Time =               254000, clk = 0, sw = 1, data = 0100
Time =               254000, clk = 1, sw = 1, data = 0100
Time =               255000, clk = 0, sw = 1, data = 0100
Time =               255000, clk = 1, sw = 1, data = 0100
Time =               256000, clk = 0, sw = 1, data = 0100
Time =               257000, clk = 1, sw = 1, data = 0100
Time =               257000, clk = 0, sw = 1, data = 0100
Time =               258000, clk = 1, sw = 1, data = 0100
Time =               258000, clk = 0, sw = 1, data = 0100
Time =               259000, clk = 1, sw = 1, data = 0100
Time =               259000, clk = 0, sw = 1, data = 0100
Time =               260000, clk = 1, sw = 1, data = 0100
Time =               261000, clk = 0, sw = 1, data = 0100
Time =               261000, clk = 1, sw = 1, data = 0100
Time =               262000, clk = 0, sw = 1, data = 0100
Time =               262000, clk = 1, sw = 1, data = 0100
Time =               263000, clk = 0, sw = 1, data = 0100
Time =               264000, clk = 1, sw = 1, data = 0100
Time =               264000, clk = 0, sw = 1, data = 0100
Time =               265000, clk = 1, sw = 1, data = 0100
Time =               265000, clk = 0, sw = 1, data = 0100
Time =               266000, clk = 1, sw = 1, data = 0100
Time =               266000, clk = 0, sw = 1, data = 0100
Time =               267000, clk = 1, sw = 1, data = 0100
Time =               268000, clk = 0, sw = 1, data = 0100
Time =               268000, clk = 1, sw = 1, data = 0100
Time =               269000, clk = 0, sw = 1, data = 0100
Time =               269000, clk = 1, sw = 1, data = 0100
Time =               270000, clk = 0, sw = 1, data = 0100
Time =               271000, clk = 1, sw = 1, data = 0010
Time =               271000, clk = 0, sw = 1, data = 0010
Time =               272000, clk = 1, sw = 1, data = 0010
Time =               272000, clk = 0, sw = 1, data = 0010
Time =               273000, clk = 1, sw = 1, data = 0010
Time =               274000, clk = 0, sw = 1, data = 0010
Time =               274000, clk = 1, sw = 1, data = 0010
Time =               275000, clk = 0, sw = 1, data = 0010
Time =               275000, clk = 1, sw = 1, data = 0010
Time =               276000, clk = 0, sw = 1, data = 0010
Time =               276000, clk = 1, sw = 1, data = 0010
Time =               277000, clk = 0, sw = 1, data = 0010
Time =               278000, clk = 1, sw = 1, data = 0010
Time =               278000, clk = 0, sw = 1, data = 0010
Time =               279000, clk = 1, sw = 1, data = 0010
Time =               279000, clk = 0, sw = 1, data = 0010
Time =               280000, clk = 1, sw = 1, data = 0010
Time =               281000, clk = 0, sw = 1, data = 0010
Time =               281000, clk = 1, sw = 1, data = 0010
Time =               282000, clk = 0, sw = 1, data = 0010
Time =               282000, clk = 1, sw = 1, data = 0010
Time =               283000, clk = 0, sw = 1, data = 0010
Time =               284000, clk = 1, sw = 1, data = 0010
Time =               284000, clk = 0, sw = 1, data = 0010
Time =               285000, clk = 1, sw = 1, data = 0010
Time =               285000, clk = 0, sw = 1, data = 0010
Time =               286000, clk = 1, sw = 1, data = 0010
Time =               286000, clk = 0, sw = 1, data = 0010
Time =               287000, clk = 1, sw = 1, data = 0010
Time =               288000, clk = 0, sw = 1, data = 0010
Time =               288000, clk = 1, sw = 1, data = 0010
Time =               289000, clk = 0, sw = 1, data = 0010
Time =               289000, clk = 1, sw = 1, data = 0010
Time =               290000, clk = 0, sw = 1, data = 0010
Time =               291000, clk = 1, sw = 1, data = 0010
Time =               291000, clk = 0, sw = 1, data = 0010
Time =               292000, clk = 1, sw = 1, data = 0010
Time =               292000, clk = 0, sw = 1, data = 0010
Time =               293000, clk = 1, sw = 1, data = 0010
Time =               294000, clk = 0, sw = 1, data = 0010
Time =               294000, clk = 1, sw = 1, data = 0010
Time =               295000, clk = 0, sw = 1, data = 0010
Time =               295000, clk = 1, sw = 1, data = 0010
Time =               296000, clk = 0, sw = 1, data = 0010
Time =               296000, clk = 1, sw = 1, data = 0001
Time =               297000, clk = 0, sw = 1, data = 0001
Time =               298000, clk = 1, sw = 1, data = 0001
Time =               298000, clk = 0, sw = 1, data = 0001
Time =               299000, clk = 1, sw = 1, data = 0001
Time =               299000, clk = 0, sw = 1, data = 0001
Time =               300000, clk = 1, sw = 1, data = 0001
Time =               301000, clk = 0, sw = 1, data = 0001
Time =               301000, clk = 1, sw = 1, data = 0001
Time =               302000, clk = 0, sw = 1, data = 0001
Time =               302000, clk = 1, sw = 1, data = 0001
Time =               303000, clk = 0, sw = 1, data = 0001
Time =               303000, clk = 1, sw = 1, data = 0001
Time =               304000, clk = 0, sw = 1, data = 0001
Time =               305000, clk = 1, sw = 1, data = 0001
Time =               305000, clk = 0, sw = 1, data = 0001
Time =               306000, clk = 1, sw = 1, data = 0001
Time =               306000, clk = 0, sw = 1, data = 0001
Time =               307000, clk = 1, sw = 1, data = 0001
Time =               308000, clk = 0, sw = 1, data = 0001
Time =               308000, clk = 1, sw = 1, data = 0001
Time =               309000, clk = 0, sw = 1, data = 0001
Time =               309000, clk = 1, sw = 1, data = 0001
Time =               310000, clk = 0, sw = 1, data = 0001
Time =               311000, clk = 1, sw = 1, data = 0001
Time =               311000, clk = 0, sw = 1, data = 0001
Time =               312000, clk = 1, sw = 1, data = 0001
Time =               312000, clk = 0, sw = 1, data = 0001
Time =               313000, clk = 1, sw = 1, data = 0001
Time =               313000, clk = 0, sw = 1, data = 0001
